                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                 0.1151,                0.23316,                0.09023,                0.06419,                    nan,                    nan,                    nan,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                    nan,                    nan,                    nan,                  0.127,                0.31004,                0.11171,                0.07797,                    nan,                    nan,                    nan,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                    nan,                    nan,                    nan,                0.13137,                0.40881,                0.14359,                0.10112,                    nan,                    nan,                    nan,             0.00015408,             0.00015408,             0.00015408
                      4,                    nan,                    nan,                    nan,                0.10499,                0.48709,                0.17046,                0.12027,                    nan,                    nan,                    nan,             0.00020798,             0.00020798,             0.00020798
                      5,                    nan,                    nan,                    nan,                0.10456,                0.49467,                0.17069,                0.12138,                    nan,                    nan,                    nan,             0.00026076,             0.00026076,             0.00026076
                      6,                    nan,                    nan,                    nan,                0.09886,                0.48569,                0.16897,                0.11793,                    nan,                    nan,                    nan,              0.0003124,              0.0003124,              0.0003124
                      7,                    nan,                    nan,                    nan,                0.09478,                0.48429,                0.16662,                0.11637,                    nan,                    nan,                    nan,             0.00036291,             0.00036291,             0.00036291
                      8,                    nan,                    nan,                    nan,                0.08966,                0.48429,                0.16137,                0.11378,                    nan,                    nan,                    nan,             0.00041229,             0.00041229,             0.00041229
                      9,                    nan,                    nan,                    nan,                0.08613,                0.49944,                0.16189,                0.11232,                    nan,                    nan,                    nan,             0.00046054,             0.00046054,             0.00046054
                     10,                    nan,                    nan,                    nan,                0.08266,                0.49944,                0.16166,                0.11155,                    nan,                    nan,                    nan,             0.00050765,             0.00050765,             0.00050765
                     11,                    nan,                    nan,                    nan,                0.07934,                0.50701,                 0.1605,                0.11123,                    nan,                    nan,                    nan,             0.00055364,             0.00055364,             0.00055364
                     12,                    nan,                    nan,                    nan,                0.07673,                0.50561,                0.15944,                 0.1101,                    nan,                    nan,                    nan,             0.00059849,             0.00059849,             0.00059849
                     13,                    nan,                    nan,                    nan,                0.07091,                0.49186,                0.15225,                0.10539,                    nan,                    nan,                    nan,             0.00064221,             0.00064221,             0.00064221
                     14,                    nan,                    nan,                    nan,                 0.0675,                0.48429,                0.14999,                0.10437,                    nan,                    nan,                    nan,              0.0006848,              0.0006848,              0.0006848
                     15,                    nan,                    nan,                    nan,                0.06123,                0.47671,                0.14845,                0.10196,                    nan,                    nan,                    nan,             0.00072625,             0.00072625,             0.00072625
                     16,                    nan,                    nan,                    nan,                0.05805,                0.46156,                0.14498,                0.10088,                    nan,                    nan,                    nan,             0.00076658,             0.00076658,             0.00076658
                     17,                    nan,                    nan,                    nan,                0.05588,                0.46156,                0.14236,                0.09853,                    nan,                    nan,                    nan,             0.00080577,             0.00080577,             0.00080577
                     18,                    nan,                    nan,                    nan,                0.05144,                0.46156,                0.14128,                0.09654,                    nan,                    nan,                    nan,             0.00084383,             0.00084383,             0.00084383
                     19,                    nan,                    nan,                    nan,                0.04951,                0.46914,                0.14049,                0.09617,                    nan,                    nan,                    nan,             0.00088076,             0.00088076,             0.00088076
                     20,                    nan,                    nan,                    nan,                0.04774,                0.46156,                0.14073,                0.09525,                    nan,                    nan,                    nan,             0.00091656,             0.00091656,             0.00091656
                     21,                    nan,                    nan,                    nan,                0.04492,                0.46156,                0.14233,                0.09506,                    nan,                    nan,                    nan,             0.00095123,             0.00095123,             0.00095123
                     22,                    nan,                    nan,                    nan,                0.04411,                0.46914,                0.13957,                0.09295,                    nan,                    nan,                    nan,             0.00098476,             0.00098476,             0.00098476
                     23,                    nan,                    nan,                    nan,                0.04257,                0.46156,                0.13841,                0.09235,                    nan,                    nan,                    nan,              0.0010172,              0.0010172,              0.0010172
                     24,                    nan,                    nan,                    nan,                0.04213,                0.46156,                0.14092,                0.09404,                    nan,                    nan,                    nan,              0.0010484,              0.0010484,              0.0010484
                     25,                    nan,                    nan,                    nan,                0.04098,                0.46156,                0.14019,                0.09379,                    nan,                    nan,                    nan,              0.0010786,              0.0010786,              0.0010786
                     26,                    nan,                    nan,                    nan,                0.04032,                0.46156,                0.14356,                0.09552,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     27,                    nan,                    nan,                    nan,                0.04013,                0.46914,                0.14342,                0.09681,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     28,                    nan,                    nan,                    nan,                0.03963,                0.47671,                0.14457,                0.09545,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     29,                    nan,                    nan,                    nan,                0.03971,                0.47671,                0.14642,                0.09681,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     30,                    nan,                    nan,                    nan,                0.03942,                0.47671,                 0.1459,                 0.0956,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     31,                    nan,                    nan,                    nan,                0.03942,                0.47671,                0.14594,                0.09565,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     32,                    nan,                    nan,                    nan,                0.03904,                0.47054,                0.14599,                0.09555,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     33,                    nan,                    nan,                    nan,                 0.0401,                0.47671,                0.14898,                0.09715,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     34,                    nan,                    nan,                    nan,                0.04004,                0.47671,                0.14919,                0.09742,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     35,                    nan,                    nan,                    nan,                0.03898,                0.47054,                0.14995,                0.09989,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     36,                    nan,                    nan,                    nan,                0.03944,                0.47054,                0.15093,                0.09936,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     37,                    nan,                    nan,                    nan,                0.03959,                0.47054,                0.15307,                 0.1013,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     38,                    nan,                    nan,                    nan,                0.04004,                0.47671,                 0.1521,                0.10112,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     39,                    nan,                    nan,                    nan,                0.04096,                0.48288,                0.15295,                0.10085,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
