                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7345,                 3.5091,                 3.7169,                 1.6836,                0.01969,                0.26852,                0.03232,                0.01935,                0.00568,                0.07548,                0.01757,                0.01654,                 1.2359,                 3.0726,                 3.5704,                 1.5496,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.6246,                 2.8647,                 3.5378,                 1.6123,                0.02677,                0.36195,                0.06428,                0.03392,                0.01079,                0.14703,                0.03075,                0.02664,                 1.2381,                 1.5944,                 3.4768,                 1.5291,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                   1.62,                 2.1405,                 3.2423,                 1.5571,                0.02873,                0.38805,                0.07726,                0.04507,                0.01052,                0.13805,                0.04685,                0.03977,                  1.205,                 1.3403,                 3.4064,                   1.47,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.6457,                 1.8291,                 2.7662,                 1.6228,                0.02258,                0.31117,                  0.063,                0.02949,                0.00246,                0.03227,                0.01855,                0.01715,                 1.2456,                 1.3144,                 3.3026,                 1.4418,             0.00020798,             0.00020798,             0.00020798
                      5,                 1.6367,                 1.6069,                 2.5309,                  1.643,                0.02545,                0.35101,                0.06623,                0.02706,                0.00297,                0.03844,                0.01481,                0.01358,                 1.1933,                 1.3497,                 3.2228,                 1.4435,             0.00026076,             0.00026076,             0.00026076
                      6,                  1.544,                 1.5693,                 2.3816,                  1.573,                0.04301,                0.57323,                0.10826,                0.04901,                0.02107,                0.26824,                0.02441,                0.02023,                 1.2102,                 1.2856,                 3.1473,                 1.4325,              0.0003124,              0.0003124,              0.0003124
                      7,                 1.4956,                 1.4505,                 2.2907,                 1.5301,                0.05719,                0.77946,                0.11697,                 0.0586,                0.03232,                0.43603,                0.03137,                0.02462,                 1.2072,                 1.2294,                 3.0369,                 1.4069,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.4629,                 1.4914,                 2.1909,                 1.4986,                0.05887,                0.81117,                0.11053,                0.06246,                0.03407,                0.46633,                0.03361,                0.02642,                 1.1104,                  1.189,                 2.9515,                  1.364,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.4253,                 1.3988,                 2.0833,                 1.4904,                0.05919,                0.81874,                0.10423,                0.06313,                 0.0344,                0.47391,                0.03391,                0.02692,                 1.0369,                  1.167,                 2.9213,                 1.3651,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.4082,                 1.4188,                 2.0996,                 1.4715,                0.06245,                0.86336,                0.12165,                 0.0654,                0.03577,                0.49383,                0.03607,                0.02841,                 1.0925,                   1.19,                 2.9432,                 1.3426,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.4259,                  1.295,                 2.0461,                 1.4847,                0.06219,                0.85438,                0.17664,                0.08942,                0.03582,                0.49242,                0.05266,                0.04207,                  1.177,                 1.3173,                    2.9,                 1.4265,             0.00055364,             0.00055364,             0.00055364
                     12,                 1.3819,                 1.4187,                  1.921,                 1.4255,                0.06288,                0.84203,                0.24098,                0.13014,                 0.0368,                0.49242,                0.08583,                0.06714,                 1.2428,                 1.4717,                 2.8779,                 1.4288,             0.00059849,             0.00059849,             0.00059849
                     13,                 1.3564,                 1.3861,                 1.8109,                 1.3929,                0.26893,                0.15937,                0.24732,                0.12224,                0.03742,                0.49242,                0.07448,                0.05982,                 1.2481,                 1.3357,                 2.7106,                 1.4211,             0.00064221,             0.00064221,             0.00064221
                     14,                 1.3714,                 1.4107,                 1.7934,                 1.3986,                0.23694,                0.23148,                0.21964,                0.11643,                0.03574,                0.48625,                0.06908,                0.05563,                 1.1705,                 1.2839,                 2.6396,                 1.3819,              0.0006848,              0.0006848,              0.0006848
                     15,                 1.3879,                 1.4931,                 1.8337,                 1.3759,                0.23285,                0.36528,                0.22263,                0.13059,                0.08511,                0.14198,                0.08684,                0.07032,                 1.1386,                 1.1813,                 2.3507,                 1.3902,             0.00072625,             0.00072625,             0.00072625
                     16,                 1.3159,                 1.3635,                 1.6692,                 1.3561,                0.25101,                0.34228,                0.28532,                0.18171,                 0.1431,                 0.2035,                0.14881,                0.12012,                 1.2122,                 1.1654,                 2.2266,                 1.4464,             0.00076658,             0.00076658,             0.00076658
                     17,                 1.2755,                 1.3562,                 1.6506,                 1.3484,                  0.324,                0.47037,                0.32974,                0.21234,                0.28896,                 0.3165,                0.18756,                0.15404,                 1.3103,                 1.1651,                  2.166,                 1.4987,             0.00080577,             0.00080577,             0.00080577
                     18,                 1.2586,                 1.2977,                 1.6162,                 1.3387,                0.46422,                0.51094,                0.48074,                 0.3228,                0.44498,                0.34374,                0.29405,                0.22862,                 1.2782,                 1.1843,                 1.8821,                 1.5178,             0.00084383,             0.00084383,             0.00084383
                     19,                 1.3415,                 1.3797,                 1.6373,                 1.3395,                0.53234,                0.50275,                0.55094,                 0.3706,                 0.5578,                 0.3858,                0.37091,                0.28254,                 1.3526,                 1.1614,                 1.7516,                 1.5309,             0.00088076,             0.00088076,             0.00088076
                     20,                 1.3282,                 1.3416,                 1.6205,                 1.3364,                0.71776,                0.41571,                0.54355,                0.37916,                0.67423,                0.38777,                 0.3952,                 0.3131,                  1.323,                 1.1868,                 1.7071,                 1.5321,             0.00091656,             0.00091656,             0.00091656
                     21,                 1.2074,                 1.2946,                 1.5002,                 1.2706,                0.47156,                0.45241,                0.48468,                0.34267,                0.45784,                0.31762,                0.33172,                0.26682,                 1.1944,                 1.1509,                 1.7691,                 1.4618,             0.00095123,             0.00095123,             0.00095123
                     22,                 1.2316,                 1.3254,                 1.4925,                 1.2996,                0.55111,                0.47331,                0.55049,                0.40828,                0.57939,                0.36448,                0.39042,                0.31036,                 1.2488,                 1.1246,                 1.6866,                 1.5248,             0.00098476,             0.00098476,             0.00098476
                     23,                 1.2067,                 1.2749,                 1.4972,                 1.2933,                0.63515,                  0.564,                0.62941,                0.45271,                0.67569,                0.43929,                0.46418,                0.37433,                 1.2746,                 1.1026,                  1.565,                  1.497,              0.0010172,              0.0010172,              0.0010172
                     24,                 1.1828,                 1.3002,                 1.4479,                 1.2694,                0.70506,                0.49555,                0.64016,                0.48263,                0.70544,                0.43567,                0.47629,                0.37666,                 1.1661,                 1.0444,                 1.4727,                 1.4366,              0.0010484,              0.0010484,              0.0010484
                     25,                 1.1599,                 1.3046,                 1.4002,                 1.2516,                0.73666,                0.51259,                0.63652,                0.47229,                0.73832,                0.43156,                0.45936,                0.37843,                  1.159,                  1.034,                 1.4674,                 1.4128,              0.0010786,              0.0010786,              0.0010786
                     26,                 1.1249,                 1.1984,                 1.3929,                 1.2588,                0.62949,                0.50533,                0.58597,                0.40652,                0.61601,                0.39057,                 0.3963,                0.32907,                 1.2082,                 1.0844,                  1.555,                 1.4045,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1935,                 1.3139,                 1.4413,                  1.289,                0.41058,                0.47559,                0.49349,                  0.359,                0.53825,                0.31425,                0.33305,                0.27537,                 1.1233,                 1.0611,                 1.7283,                 1.4092,              0.0010753,              0.0010753,              0.0010753
